mode,case,concurrency,fragment,phase,trials,median_ns,min_ns,max_ns,median_overhead_percent
selected,1m,1,1024,steady,5,371436.1875,368887.890625,382368.4140625,4.189386223205993
auto,1m,1,1024,steady,5,371833.7578125,370249.625,374724.609375,4.30090633953808
direct,1m,1,65536,steady,5,165160.5546875,163916.765625,167098.8984375,0.0
selected,1m,1,65536,steady,5,165696.5234375,165096.4609375,171001.265625,0.32451377449906893
auto,1m,1,65536,steady,5,165873.8125,165202.6796875,168474.6640625,0.43185723967176237
direct,1m,8,17,steady,5,9244303.375,9148823.1875,14198278.5,0.0
selected,1m,8,17,steady,5,10178800.1875,9944416.25,12412161.5,10.108893819162446
auto,1m,8,17,steady,5,10106065.75,9934038.0,11313838.875,9.32209102235353
direct,1m,8,1024,steady,5,365788.8671875,365259.578125,376594.875,0.0
selected,1m,8,1024,steady,5,374554.0859375,372007.6640625,391822.3203125,2.396250825618229
auto,1m,8,1024,steady,5,374292.5703125,372769.0078125,377751.125,2.3247572268625394
direct,1m,8,65536,steady,5,159534.078125,158830.796875,160808.1796875,0.0
selected,1m,8,65536,steady,5,160912.9921875,160468.3046875,161538.6484375,0.8643382521818177
auto,1m,8,65536,steady,5,161341.7734375,160134.7109375,162056.75,1.1331091975744556
direct,1m,64,17,steady,5,9348093.28125,9221207.703125,12515358.03125,0.0
selected,1m,64,17,steady,5,10722274.421875,10084075.390625,14932679.765625,14.700122252537561
auto,1m,64,17,steady,5,10129765.546875,10085031.28125,11140617.828125,8.3618363885269
direct,1m,64,1024,steady,5,367282.5390625,363304.96875,377863.59375,0.0
selected,1m,64,1024,steady,5,392116.3203125,380355.7265625,396739.5078125,6.761492477532149
auto,1m,64,1024,steady,5,377572.96875,375065.8515625,394676.2890625,2.8017748172201706
direct,1m,64,65536,steady,5,159906.59375,159079.2734375,169476.9765625,0.0
selected,1m,64,65536,steady,5,167101.171875,166889.453125,168339.4609375,4.4992379340204725
auto,1m,64,65536,steady,5,161686.3203125,161129.375,166686.328125,1.1129788464398382
direct,1m,128,17,steady,5,9301262.6328125,9262547.2109375,11012550.1640625,0.0
selected,1m,128,17,steady,5,10230668.5859375,9921075.5703125,12073972.5,9.99225578091185
auto,1m,128,17,steady,5,10039780.859375,9884813.90625,10191726.8984375,7.93997821282022
direct,1m,128,1024,steady,5,365690.265625,364056.9453125,592743.1875,0.0
selected,1m,128,1024,steady,5,378674.734375,376128.9375,410965.359375,3.550673881845956
auto,1m,128,1024,steady,5,384501.8984375,381939.15625,386896.53125,5.144143714175464
direct,1m,128,65536,steady,5,162026.9453125,161153.5625,164430.796875,0.0
selected,1m,128,65536,steady,5,168272.3046875,167069.71875,168885.65625,3.8545189893907095
auto,1m,128,65536,steady,5,164459.8359375,162501.875,166750.4140625,1.501534587538944
direct,paused,1,17,steady,5,3693.1920166015625,3655.3974609375,4319.5360107421875,0.0
selected,paused,1,17,steady,5,3692.7281494140625,3688.8931884765625,3713.136962890625,-0.012560061470268113
auto,paused,1,17,steady,5,3748.5126953125,3688.9791259765625,4297.526611328125,1.4979096256642288
direct,paused,1,1024,steady,5,2905.808563232422,2859.4073028564453,3015.746063232422,0.0
selected,paused,1,1024,steady,5,2887.660690307617,2878.6754760742188,3015.039581298828,-0.624537801781988
auto,paused,1,1024,steady,5,2939.477310180664,2885.6251525878906,3143.8124084472656,1.1586705116867435
direct,paused,1,65536,steady,5,2892.2427520751953,2856.8636474609375,2992.9584197998047,0.0
selected,paused,1,65536,steady,5,2869.9303131103516,2852.490478515625,3846.4559936523438,-0.7714580302374152
auto,paused,1,65536,steady,5,2918.5680389404297,2878.158981323242,3840.1845703125,0.9102032271096849
direct,paused,8,17,steady,5,3369.7763671875,3344.9813232421875,3464.24169921875,0.0
